"filename", "language", "JavaScript", "PHP", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\order-taking-app\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 1, 3
"c:\xampp\htdocs\order-taking-app\composer.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 7
"c:\xampp\htdocs\order-taking-app\fetch_food_items.php", "PHP", 0, 20, 0, 0, 0, 6, 0, 26
"c:\xampp\htdocs\order-taking-app\index.html", "HTML", 0, 0, 56, 0, 0, 1, 3, 60
"c:\xampp\htdocs\order-taking-app\nahm\check-script.js", "JavaScript", 37, 0, 0, 0, 0, 4, 1, 42
"c:\xampp\htdocs\order-taking-app\nahm\check.php", "PHP", 0, 7, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\order-taking-app\nahm\check_name.php", "PHP", 0, 19, 0, 0, 0, 4, 0, 23
"c:\xampp\htdocs\order-taking-app\nahm\connection.php", "PHP", 0, 9, 0, 0, 0, 3, 0, 12
"c:\xampp\htdocs\order-taking-app\nahm\create.php", "PHP", 0, 26, 0, 0, 0, 8, 0, 34
"c:\xampp\htdocs\order-taking-app\nahm\dashboard.php", "PHP", 0, 167, 0, 0, 0, 5, 0, 172
"c:\xampp\htdocs\order-taking-app\nahm\delete.php", "PHP", 0, 15, 0, 0, 0, 6, 0, 21
"c:\xampp\htdocs\order-taking-app\nahm\index.php", "PHP", 0, 59, 0, 0, 0, 1, 7, 67
"c:\xampp\htdocs\order-taking-app\nahm\logout.js", "JavaScript", 12, 0, 0, 0, 0, 3, 5, 20
"c:\xampp\htdocs\order-taking-app\nahm\logout.php", "PHP", 0, 6, 0, 0, 0, 2, 3, 11
"c:\xampp\htdocs\order-taking-app\nahm\script.js", "JavaScript", 33, 0, 0, 0, 0, 6, 1, 40
"c:\xampp\htdocs\order-taking-app\nahm\update.php", "PHP", 0, 18, 0, 0, 0, 6, 0, 24
"c:\xampp\htdocs\order-taking-app\nahm\verify.php", "PHP", 0, 16, 0, 0, 0, 6, 4, 26
"c:\xampp\htdocs\order-taking-app\script.js", "JavaScript", 139, 0, 0, 0, 0, 13, 2, 154
"Total", "-", 221, 362, 56, 7, 2, 76, 28, 752
